Orthogroup	Duplications (all)	Duplications (50% support)
OG0000824	0	0
OG0000825	1	1
OG0000826	2	2
OG0000827	1	1
OG0000828	1	1
OG0000829	0	0
OG0000830	0	0
OG0000831	0	0
OG0000832	2	2
OG0000833	0	0
OG0000834	0	0
OG0000835	0	0
OG0000836	0	0
OG0000837	0	0
OG0000838	0	0
OG0000839	0	0
OG0000840	2	2
OG0000841	0	0
OG0000842	1	1
OG0000843	1	1
OG0000844	2	2
OG0000845	2	2
OG0000846	1	1
OG0000847	0	0
OG0000848	0	0
OG0000849	0	0
OG0000850	1	1
OG0000851	0	0
OG0000852	0	0
OG0000853	0	0
OG0000854	0	0
OG0000855	1	1
OG0000856	1	1
OG0000857	0	0
OG0000858	1	1
OG0000859	0	0
OG0000860	1	1
OG0000861	0	0
OG0000862	5	5
OG0000863	3	3
OG0000864	2	1
OG0000865	5	5
OG0000866	3	3
OG0000867	5	5
OG0000868	5	5
OG0000869	4	4
OG0000870	4	4
OG0000871	5	5
OG0000872	5	5
OG0000873	2	0
OG0000874	3	3
OG0000875	4	4
OG0000876	1	1
OG0000877	3	3
OG0000878	3	3
OG0000879	2	2
OG0000880	3	3
OG0000881	3	3
OG0000882	2	2
OG0000883	3	3
OG0000884	4	4
OG0000885	2	2
OG0000886	3	3
OG0000887	3	3
OG0000888	3	3
OG0000889	5	5
OG0000890	2	2
OG0000891	5	5
OG0000892	5	5
OG0000893	4	4
OG0000894	2	2
OG0000895	5	5
OG0000896	4	4
OG0000897	3	3
OG0000898	3	3
OG0000899	5	5
OG0000900	5	5
OG0000901	5	5
OG0000902	5	5
OG0000903	5	5
OG0000904	5	5
OG0000905	5	5
OG0000906	5	5
OG0000907	5	5
OG0000908	5	5
OG0000909	5	5
OG0000910	5	5
OG0000911	5	5
OG0000912	0	0
OG0000913	0	0
OG0000914	4	4
OG0000915	0	0
OG0000916	0	0
OG0000917	0	0
OG0000918	0	0
OG0000919	1	1
OG0000920	0	0
OG0000921	0	0
OG0000922	0	0
OG0000923	0	0
OG0000924	0	0
OG0000925	0	0
OG0000926	0	0
OG0000927	0	0
OG0000928	0	0
OG0000929	0	0
OG0000930	0	0
OG0000931	0	0
OG0000932	1	1
OG0000933	0	0
OG0000934	1	1
OG0000935	1	1
OG0000936	0	0
OG0000937	0	0
OG0000938	0	0
OG0000939	0	0
OG0000940	0	0
OG0000941	0	0
OG0000942	0	0
OG0000943	0	0
OG0000944	0	0
OG0000945	0	0
OG0000946	0	0
OG0000947	1	1
OG0000948	0	0
OG0000949	0	0
OG0000950	2	2
OG0000951	1	1
OG0000952	1	0
OG0000953	2	2
OG0000954	0	0
OG0000955	0	0
OG0000956	1	1
OG0000957	0	0
OG0000958	0	0
OG0000959	0	0
OG0000960	0	0
OG0000961	0	0
OG0000962	0	0
OG0000963	1	1
OG0000964	1	1
OG0000965	0	0
OG0000966	0	0
OG0000967	0	0
OG0000968	0	0
OG0000969	1	1
OG0000970	0	0
OG0000971	0	0
OG0000972	0	0
OG0000973	0	0
OG0000974	1	1
OG0000975	1	1
OG0000976	0	0
OG0000977	1	1
OG0000978	0	0
OG0000979	3	3
OG0000980	0	0
OG0000981	1	1
OG0000982	1	1
OG0000983	2	2
OG0000984	0	0
OG0000985	0	0
OG0000986	0	0
OG0000987	0	0
OG0000988	1	1
OG0000989	2	2
OG0000990	2	2
OG0000991	0	0
OG0000992	0	0
OG0000993	0	0
OG0000994	0	0
OG0000995	0	0
OG0000996	1	1
OG0000997	0	0
OG0000998	2	2
OG0000999	0	0
OG0001000	0	0
OG0001001	0	0
OG0001002	0	0
OG0001003	2	2
OG0001004	1	1
