,gene_id,database,kegg_id
625,XNR_RS03015,KEGG_ko,-
626,XNR_RS03020,KEGG_ko,-
627,XNR_RS03025,KEGG_ko,-
628,XNR_RS03030,KEGG_ko,-
629,XNR_RS03035,KEGG_ko,-
634,XNR_RS03055,KEGG_ko,-
641,XNR_RS03085,KEGG_ko,-
643,XNR_RS03095,KEGG_ko,-
644,XNR_RS03100,KEGG_ko,-
646,XNR_RS03110,KEGG_ko,-
647,XNR_RS03115,KEGG_ko,-
652,XNR_RS03135,KEGG_ko,-
653,XNR_RS03140,KEGG_ko,-
659,XNR_RS03165,KEGG_ko,-
663,XNR_RS03185,KEGG_ko,-
664,XNR_RS03190,KEGG_ko,-
666,XNR_RS03200,KEGG_ko,-
667,XNR_RS03205,KEGG_ko,-
668,XNR_RS03210,KEGG_ko,-
669,XNR_RS03215,KEGG_ko,-
670,XNR_RS03220,KEGG_ko,-
673,XNR_RS03235,KEGG_ko,-
675,XNR_RS03245,KEGG_ko,-
676,XNR_RS03250,KEGG_ko,-
677,XNR_RS03255,KEGG_ko,-
678,XNR_RS03260,KEGG_ko,-
679,XNR_RS03265,KEGG_ko,-
680,XNR_RS03270,KEGG_ko,-
681,XNR_RS03275,KEGG_ko,-
682,XNR_RS03280,KEGG_ko,-
683,XNR_RS03285,KEGG_ko,-
684,XNR_RS03290,KEGG_ko,-
687,XNR_RS03300,KEGG_ko,-
688,XNR_RS03305,KEGG_ko,-
692,XNR_RS03325,KEGG_ko,-
694,XNR_RS03335,KEGG_ko,-
696,XNR_RS03345,KEGG_ko,-
697,XNR_RS03350,KEGG_ko,-
698,XNR_RS03355,KEGG_ko,-
699,XNR_RS03360,KEGG_ko,-
700,XNR_RS03365,KEGG_ko,-
703,XNR_RS03380,KEGG_ko,-
705,XNR_RS03390,KEGG_ko,-
706,XNR_RS03395,KEGG_ko,-
711,XNR_RS03420,KEGG_ko,-
712,XNR_RS03425,KEGG_ko,-
713,XNR_RS03430,KEGG_ko,-
714,XNR_RS03435,KEGG_ko,-
715,XNR_RS03440,KEGG_ko,-
719,XNR_RS03455,KEGG_ko,-
720,XNR_RS03460,KEGG_ko,-
723,XNR_RS03475,KEGG_ko,-
724,XNR_RS03480,KEGG_ko,-
725,XNR_RS03485,KEGG_ko,-
726,XNR_RS03490,KEGG_ko,-
727,XNR_RS03495,KEGG_ko,-
730,XNR_RS03505,KEGG_ko,-
735,XNR_RS03530,KEGG_ko,-
739,XNR_RS03550,KEGG_ko,-
740,XNR_RS03555,KEGG_ko,-
742,XNR_RS03565,KEGG_ko,-
743,XNR_RS03570,KEGG_ko,-
744,XNR_RS03575,KEGG_ko,-
745,XNR_RS03580,KEGG_ko,-
746,XNR_RS03585,KEGG_ko,-
747,XNR_RS03590,KEGG_ko,-
749,XNR_RS03600,KEGG_ko,-
752,XNR_RS03615,KEGG_ko,-
753,XNR_RS03620,KEGG_ko,-
755,XNR_RS03630,KEGG_ko,-
756,XNR_RS03635,KEGG_ko,-
757,XNR_RS03640,KEGG_ko,-
760,XNR_RS03670,KEGG_ko,-
763,XNR_RS03685,KEGG_ko,-
765,XNR_RS03695,KEGG_ko,-
767,XNR_RS03705,KEGG_ko,-
768,XNR_RS03710,KEGG_ko,-
769,XNR_RS03715,KEGG_ko,-
770,XNR_RS03720,KEGG_ko,-
772,XNR_RS03730,KEGG_ko,-
773,XNR_RS03735,KEGG_ko,-
775,XNR_RS03745,KEGG_ko,-
776,XNR_RS03750,KEGG_ko,-
778,XNR_RS03760,KEGG_ko,-
779,XNR_RS03765,KEGG_ko,-
784,XNR_RS03785,KEGG_ko,-
785,XNR_RS03790,KEGG_ko,-
786,XNR_RS03795,KEGG_ko,-
792,XNR_RS03825,KEGG_ko,-
797,XNR_RS31515,KEGG_ko,-
798,XNR_RS03855,KEGG_ko,-
799,XNR_RS03860,KEGG_ko,-
800,XNR_RS03865,KEGG_ko,-
808,XNR_RS03905,KEGG_ko,-
809,XNR_RS03910,KEGG_ko,-
810,XNR_RS03915,KEGG_ko,-
814,XNR_RS03935,KEGG_ko,-
815,XNR_RS03940,KEGG_ko,-
816,XNR_RS03945,KEGG_ko,-
827,XNR_RS03990,KEGG_ko,-
829,XNR_RS04000,KEGG_ko,-
830,XNR_RS04005,KEGG_ko,-
831,XNR_RS04010,KEGG_ko,-
832,XNR_RS04015,KEGG_ko,-
838,XNR_RS31055,KEGG_ko,-
839,XNR_RS04045,KEGG_ko,-
841,XNR_RS04055,KEGG_ko,-
847,XNR_RS04070,KEGG_ko,-
848,XNR_RS04075,KEGG_ko,-
849,XNR_RS04080,KEGG_ko,-
850,XNR_RS04085,KEGG_ko,-
851,XNR_RS04090,KEGG_ko,-
853,XNR_RS04100,KEGG_ko,-
854,XNR_RS04105,KEGG_ko,-
861,XNR_RS04140,KEGG_ko,-
862,XNR_RS04145,KEGG_ko,-
863,XNR_RS04150,KEGG_ko,-
864,XNR_RS04155,KEGG_ko,-
865,XNR_RS04160,KEGG_ko,-
866,XNR_RS04165,KEGG_ko,-
867,XNR_RS04170,KEGG_ko,-
869,XNR_RS04180,KEGG_ko,-
871,XNR_RS04190,KEGG_ko,-
872,XNR_RS04195,KEGG_ko,-
877,XNR_RS04220,KEGG_ko,-
879,XNR_RS04230,KEGG_ko,-
884,XNR_RS04250,KEGG_ko,-
887,XNR_RS04265,KEGG_ko,-
888,XNR_RS04270,KEGG_ko,-
889,XNR_RS04275,KEGG_ko,-
892,XNR_RS04290,KEGG_ko,-
894,XNR_RS04300,KEGG_ko,-
895,XNR_RS04305,KEGG_ko,-
896,XNR_RS04310,KEGG_ko,-
900,XNR_RS04325,KEGG_ko,-
901,XNR_RS04330,KEGG_ko,-
902,XNR_RS04335,KEGG_ko,-
903,XNR_RS04340,KEGG_ko,-
904,XNR_RS04345,KEGG_ko,-
905,XNR_RS04350,KEGG_ko,-
907,XNR_RS04360,KEGG_ko,-
909,XNR_RS04370,KEGG_ko,-
910,XNR_RS04375,KEGG_ko,-
911,XNR_RS04380,KEGG_ko,-
912,XNR_RS04390,KEGG_ko,-
914,XNR_RS04405,KEGG_ko,-
915,XNR_RS04410,KEGG_ko,-
916,XNR_RS04415,KEGG_ko,-
917,XNR_RS04420,KEGG_ko,-
918,XNR_RS04425,KEGG_ko,-
919,XNR_RS04430,KEGG_ko,-
