,species,Function
sen_unchar-11,Sen,Uncharacterized
sen_unchar-12,Sen,Uncharacterized
sen_unchar-2,Sen,Uncharacterized
sen_unchar-3,Sen,Uncharacterized
sen_unchar-4,Sen,Uncharacterized
sen_unchar-5,Sen,Uncharacterized
sen_unchar-6,Sen,Uncharacterized
sen_unchar-7,Sen,Uncharacterized
sen_unchar-8,Sen,Uncharacterized
sen_unchar-9,Sen,Uncharacterized
sen_yciGFEkatN,Sen,Uncharacterized
sen_ygbLM,Sen,Uncharacterized
sen_yji-operon,Sen,Uncharacterized
sen_yjiAXY,Sen,Uncharacterized
sen_zur,Sen,Uncharacterized
